<latex> Definition (13.1.1): The Distance Formula in Three Dimensions </latex>	<latex> $d(P_{1}, P_{2}) = \sqrt{x_{2} - x_{1})^{2} + (y_{2} - y_{1})^{2} + (z_{2} - z_{1})^{2}}$ </latex>
<latex> 1.2.6: Proposition: Linearly Dependent Systems Represented as Linear Combinations </latex>	<latex> A system of vectors $\alpha_{1} \overrightarrow{v_{1}}, \alpha_{2} \overrightarrow{v_{2}}, ..., \alpha_{p} \overrightarrow{v_{p}} \in V$ is linearly dependent if and only if one of the vectors $\overrightarrow{v_{k}}$ can be represented as a linear combination of the other vectors.  </latex>
<latex> 1.2.7: Proposition: A Basis is Linearly Independent and Generating </latex>	<latex> A system of vectors $\alpha_{1} \overrightarrow{v_{1}}, \alpha_{2} \overrightarrow{v_{2}}, ..., \alpha_{p} \overrightarrow{v_{p}} \in V$ is a basis if and only if it is linearly independent and complete.  </latex>
<latex> 1.2.8: Proposition: Generating Systems Contain a Basis </latex>	<latex> Any (finite) generating system contains a basis.  </latex>
<latex> 1.3.1: Defition: Linear Transformation </latex>	<latex> Let $V, W$ be vector spaces  (over the same field $\mathbb{F}$). A transformation $T: V \to W$ is called linear if:$$\text{1. } T(\overrightarrow{u} + \overrightarrow{v}) = T(\overrightarrow{u}) + T(\overrightarrow{v}) \text{ for all } \overrightarrow{u}, \overrightarrow{v} \in V$$$$\text{2. } T(\alpha \overrightarrow{v}) = \alpha T(\overrightarrow{v}) \text{ for all } \overrightarrow{v} \in V \text{ and for all scalars } \alpha \in \mathbb{F}$$These two properties can be combined in the equivalent statement:$$T(\alpha \overrightarrow{u} + \beta \overrightarrow{v}) = \alpha T(\overrightarrow{u}) + \beta T(\overrightarrow{v}) \text{ for all } \overrightarrow{u}, \overrightarrow{v} \in V \text{ and for all scalars } \alpha, \beta$$ </latex>
<latex> 1.3.2: Linear Transformations as Matrix Column Multiplication </latex>	<latex> Linear transformation $T: \mathbb{F}^{n} \to \mathbb{F}^{m}$ also can be represented as multiplication, not by a scalar, but  by a matrix. If $T(\overrightarrow{x}) = A\overrightarrow{x}$ where $A$ is some matrix. Then:$$A \overrightarrow{x} = \sum_{k=1}^{n} x_{k} \overrightarrow{a_{k}}$$Thus, the matrix-vector multiplication should be performed by multiplying each column of the matrix by the corresponding coordinate of the vector.  </latex>
<latex> 1.3.3: Linear Transformations and Generating Sets </latex>	<latex> A linear transformation $T: V \to W$ is completely defined by its values on a generating set (in particular by its values on a basis). $\\$ Then if $\alpha_{1} \overrightarrow{v_{1}}, \alpha_{2} \overrightarrow{v_{2}}, ..., \alpha_{p} \overrightarrow{v_{n}} \in V$ is a generating set (in particular, if it is a basis), and $T$ and $T_{1}$ are linear transformations $T, T_{1} : V \to W$ such that $$ T \overrightarrow{v_{k}} = T_{1} \overrightarrow{v_{k}}, k = 1, 2, 3, ..., n$$then $T = T_{1}$.  </latex>
<latex> 1.4.1: Remark: Linear Operations on Linear Transformations </latex>	<latex> Linear operations (addition and multipication by a scalar) on linear transformations $T: \mathbb{F}^n \to \mathbb{F}^m$ correspond to the respective operations on their matrices. Since we know that the set of $m \times n$ matrices is a vector space, this immediately impliers that $\mathcal{L}(\mathbb{F}^n, \mathbb{F}^m)$ is a vector space.  </latex>
<latex> 1.5.1 Definition: Matrix Multiplication </latex>	<latex> If $b_{1}, b_{2}, ... , b_{r}$ are the column vectors of $B$, then $Ab_{1}, Ab_{2}, ... , Ab_{r}$ are the columns of the matrix $AB$. $\\$ The entry $(AB)_{j,k}$ (the entry in row $j$ and column $k$) of the product $AB$ is defined by $$(AB)_{j, k} = (\text{row } j \text{ of } A) \cdot (\text{column} k \text{ of } B)$$$$(AB)_{j, k} = \sum_{l}a_{j, l}b_{l,k}$$ </latex>
<latex> 1.5.2: Definition: Composition of Linear Transformations </latex>	<latex> Suppose there are two linear transformations, $T_{1}: \mathbb{F}^n \to \mathbb{F}^m$ and $T_{2}: \mathbb{F}^r \to \mathbb{F}^n$. Then, the composition $T = T_{1} \circ T_{2}$ of the transformations $T_{1}, T_{2}$ is defined as:$$T(\overrightarrow{x}) = T_{1}(T_{2}(\overrightarrow{x})) \text{ for all } \overrightarrow{x} \in \mathbb{F}^r$$ </latex>
<latex> 1.5.3: Remark: Row by Column Rule of Composition Transformations </latex>	<latex> In order for $T_{1}T_{2}$ to be defined the matrices of $T_{1}$ and $T_{2}$ should be os sizes $m \times n$ and $n \times r$ respectively. </latex>
<latex> 1.5.3: Theorem: Properties of Matrix Multiplication </latex>	<latex> $$\text{1. Associativity } A(BC) = (AB) C \text{ provided that either left or right side is well define. Then typically written } ABC. $$$$\text{2. Distributivity } A(B+C) = AB + AC \text{ and } (A + B)C = AC + BC \text{ provided either left or right side of each quadrant is well defined. }$$$$\text{3. One can take scalar multiples out: } A(\alpha B) = (\alpha A)(B) = \alpha(AB) = \alpha AB$$ </latex>
<latex> 1.5.4: Theorem: Transposed Matrices and Multiplication </latex>	<latex> $$(AB)^{T} = B^{T}A^{T}$$ </latex>
<latex> 1.5.5: Definition: Trace and Matrix Multiplication </latex>	<latex> For a square ($n \times n$) matrix, $A = (a_{j, k})$, its trace (denoted by $\text{trace}A$) is the sum of the diagonal entries$$\text{trace}A = \sum_{k=1}{n}a_{k,k}$$ </latex>
<latex> 1.5.1: Theorem: Trace of Matrices Commutativity </latex>	<latex> Let $A$ and $B$ be matrices of size $m \times n$ and $n \times m$ respectively (so the both products $AB$ and $BA$ are well defined), then $$\text{trace}(AB) = \text{trace}(BA)$$ </latex>
<latex> 1.6.1: Definition: Identity Transformation and Identity Matrix </latex>	<latex> Among all linear transformations, there is a special identity transformation (operator), $I$, the identity transformation, or identity matrix such that $$I\overrightarrow{x} = \overrightarrow{x} \text{ for all } \overrightarrow{x}$$There ar infinitely many identity transformations: for any vector space $V$, there is the identity transformation $I = I_{v}: V \to V$ and $I_{v}\overrightarrow{x} = \overrightarrow{x}$ for all $\overrightarrow{x}$ in $V$.  </latex>
<latex> 1.6.2: Definition Left Invertible </latex>	<latex> Let $A: V \to W$ be a linear transformation. The transformation $A$ is left invertible is there exists a linear transformation $B: W \to V$ such that $$BA = I (I = I_{V})$$Then $B$ is the left inverse of $A$ </latex>
<latex> 1.6.2: Definition: Right Invertible </latex>	<latex> Let $A: V \to W$ be a linear transformation. The transformation $A$ is right invertible if there exists a linear transformation $C: W \to V$ such that $$AC = I (I = I_{W})$$Then $C$ is the right inverse of $A$ </latex>
<latex> 1.6.2: Definition: Invertible Transformations </latex>	<latex> A linear transformation $A: V \to W$ is called invertible if it is both right and left invertible.  </latex>
<latex> 1.6.2: Theorem 6.1: Uniqueness of Left and Right Inverses of an Invertible Transformation </latex>	<latex> If a linear transformation $A: V \to W$ is invertible, then its left and right inverses $B$ and $C$ are unique and coincide.  </latex>
<latex> 1.6.2: Theorem 6.1 Corollary: The Inverse of a Transformation </latex>	<latex> A transformation $A: V \to W$ is invertible if and only if there exists a unique linear transformation (denoted $A^{-1}$), $A^{-1} : W \to V$ such that $$A^{-1}A = I_{V} \text{ and } AA^{-1} = I_{W}$$Then the transformation $A^{-1}$ is called the inverse of $A$.  </latex>
<latex> 1.6.2: Definition: Invertible Matrices </latex>	<latex> A matrix is called invertible (respectively left invertible and right invertible) if the corresponding linear transformation is invertible (respectively left invertible and right invertible).  </latex>
<latex> 1.6.2: Remark: Squareness of Invertible Matrices and Right and Left Existence Sufficiency </latex>	<latex> An invertible matrix must be square ($n \times n$). Moreover, if a square matrix $A$ has either left or right inverse, it is invertible. So, it is sufficient to check only one of the indentites $AA^{-1} = I \text{ or } A^{-1}A = I$.  </latex>
<latex> 1.6.2: Theorem 6.3: Inverse of the Product </latex>	<latex> If linear transformations $A$ and $B$ are invertible (and such that the product $AB$ is defined), then the product $AB$ is invertible and $$(AB)^{-1} = B^{-1}A^{-1}$$Note the change of order.  </latex>
<latex> 1.6.2: Remark 6.4: Invertibility of the Factors of an Invertible Product </latex>	<latex> The inveribility of the product $AB$ does not imply the invertibility of the factors $A$ and $B$. However, if one of the factors $A$ or $B$ is invertible and $AB$ is invertible, then the second factor is also invertible.  </latex>
<latex> 1.6.2: Theorem 6.5: Inverse of $A^{T}$ </latex>	<latex> If a matrixc $A$ is invertible, then $A^{T}$ is is also invertible and $$(A^{T})^{-1} = (A^{-1})^{T}$$ </latex>
<latex> 1.6.3: Definition: Isomorphism </latex>	<latex> An invertible linear transformation $A: V \to W$ is called an isomorphism.  </latex>
<latex> 1.6.3: Definition: Isomorphic Spaces </latex>	<latex> Two vector spaces $V$ and $W$ are called isomorphic (denoted $V \cong W$) if there is an isomorphism $A: V \to W$.  </latex>
<latex> 1.6.3: Theorem 6.6: The Isomorphimic Transformation of a Basis </latex>	<latex> Let $A:V \to W$ be an isomorphism, and let $\overrightarrow{v_{1}}, \overrightarrow{v_{2}}, ... , \overrightarrow{v_{n}}$ be a basis in $V$. Then the system $A \overrightarrow{v_{1}}, A \overrightarrow{v_{2}}, ... , A \overrightarrow{v_{n}}$ is also a basis in $W$.  </latex>
<latex> 1.6.3: Remark, Theorem 6.6: Properties Preserved by Isomorphistic Transformations </latex>	<latex> Just as bases (plural of basis) are preserved by isomorphic transformations, so is linear independence, generation, and linear dependence.  </latex>
<latex> 1.6.3: Remark, Theorem 6.6: The Inverse of an Isomorphism </latex>	<latex> If $A$ is an Isomorphism, then so is $A^{-1}$. </latex>
<latex> 1.6.3: Theorem 6.7: Linear Transformation that Transforms from a Basis to Another Basis </latex>	<latex> Let $A: V \to W$ be a linear map, and let $\overrightarrow{v_{1}}, \overrightarrow{v_{2}}, ... , \overrightarrow{v_{n}}$ and $\overrightarrow{w_{1}}, \overrightarrow{w_{2}}, ... , \overrightarrow{w_{n}}$ be bases in $V$ and $W$ respectively. If $A\overrightarrow{v_{1}} = \overrightarrow{w_{k}} \text{ for all } k = 1, 2, ... , n$, then $A$ is an isomorphism.  </latex>
<latex> 1.6.4: Theorem 6.8: Equation that Guarentee's Invertibility </latex>	<latex> Let $A: X \to Y$ be a linear transformation. Then $A$ is invertible if and only if for any right side $\overrightarrow{b} \in Y$ the equation$$A\overrightarrow{x} = \overrightarrow{b}$$has the unique solution $\overrightarrow{x} \in X$. </latex>
<latex> 1.6.4: Corollary 6.9: The Columns of an Invertible Matrix </latex>	<latex> An $m \times n$ matrix is invertible if and only if its columns form a basis in $\mathbb{F}^m$.  </latex>
<latex> 1.7.1: Definition: Subspace </latex>	<latex> A subspace of a vector space $V$ is a non-empty subset $V_{0} \subset V$ of $V$ which is closed under the vector addition and multiplication by scalars, i.e.$$\text{1. If} \overrightarrow{v} \in V_{0} \text{ then } \alpha \overrightarrow{v} \in V_{0} \text{ for all scalars}$$$$\text{2. For any } \overrightarrow{u}, \overrightarrow{v} \in V_{0} \text{, the sum } \overrightarrow{u} + \overrightarrow{v} \in V_{0}$$Again, the conditions 1 and 2 can be replaced by the following one:$$\alpha \overrightarrow{u} + \beta \overrightarrow{v} \in V_{0} \text{ for any } \overrightarrow{u}, \overrightarrow{v} \in V_{0} \text{ and for all scalars}$$ </latex>
<latex> 2.1.1: Definition: Linear System </latex>	<latex> A system of linear equations, which can be written in matrix form (as a matrix vector equaition).  </latex>
<latex> 2.2.1: Definition: Row Operations </latex>	<latex> $$\text{1. Row excahnge: interchange two rows of the matrix}$$$$\text{2. Scaling: multiple a row by a non-zero scalar} \alpha$$$$\text{3. Row replacement: replace a row number } k \text{ by its sum with a constant multiple of a row number, } j \text{ all other rows remain intact}$$ </latex>
<latex> 2.2.2: Definition: Row Reduction </latex>	<latex> The three sub-steps of row reduction$$\text{1. Find the leftmost non-zero column of the matrix}$$$$\text{2. Make sure, by applying row operations of type 1 row exchange, ifnecessary, that the 1st the upper entry of this column is non-zero.This entry will be called the pivot entry or simply the pivot}$$$$\text{3. Kill i.e. make them 0 all non-zero entries below the pivot by adding or subtracting an appropriate multiple of the first row from the rows numbered } 2, 3, ..., m$$ </latex>
<latex> 2.2.3: Definition: Echelon Form </latex>	<latex> A matrix is in echelon form if it satises the following two conditions:$$\text{1. All zero rows (i.e. the rows with all entries equal 0), if any, are below all non-zero entries.}$$For a non-zero row, let us call the leftmost non-zero entry the leading entry.Then the second property of the echelon form can be formulated as follows:$$\text{2. For any non-zero row its leading entry is strictly to the right of the leading entry in the previous row.}$$ </latex>
<latex> 2.2.3: Definition: Reduced Echelon Form </latex>	<latex> A matrix is in reduced echelon form if it is in echelon form and:$$\text{3. All pivot entries are equal 1}$$$$\text{4. All entries above the pivots are 0. Note, that all entries below the pivots are also 0 because of the echelon form.}$$ </latex>
<latex> 2.3.1: Theorem: Inconsistient Linear Systems </latex>	<latex> A system is inconsistent (does not have a solution) if and only if there is a pivot in the last column of an echelon form of the augmented matrix. </latex>
<latex> 2.3.1: Properties of Coefficient Matrices Regarding Solutions </latex>	<latex> $$\text{ 1. A solution, if it exists, is unique if there are no free variables, that is if and only if there are pivots in every column of the echelon form of the coefficient matrix}$$$$\text{2. The equation } A \overrightarrow{x} = \overrightarrow{b} \text{is consistient for all right sides if and only the coefficient matrix has a pivot in every row}$$$$\text{3. The equation} A \overrightarrow{x} = \overrightarrow{b} \text{has a unique solution for the right side if and only if the echelon form for the coefficient matrix} A \text{ has a pivot in every column and every row}$$ </latex>
<latex> 2.3.1: Proposition 3.1: The Linear Dependence, Generation, and Bases of Vector Systems in Relation to Pivots in Echelon Form </latex>	<latex> Let us have a system of vectors $\overrightarrow{v_{1}}, \overrightarrow{v_{2}}, ... \overrightarrow{v_{m}} \in \mathbb{F}^n$, and let $A = [\overrightarrow{v_{1}}, \overrightarrow{v_{2}}, ... \overrightarrow{v_{m}}]$ be an $n \times m$ matrix with columns $\overrightarrow{v_{1}}, \overrightarrow{v_{2}}, ... \overrightarrow{v_{m}}$. Then, $$\text{1. The system } \overrightarrow{v_{1}}, \overrightarrow{v_{2}}, ... \overrightarrow{v_{m}} \text{ is linearly independing if and only if the echelon form of }A  \text{ has a pivot in every column}$$$$\text{2. The system } \overrightarrow{v_{1}}, \overrightarrow{v_{2}}, ... \overrightarrow{v_{m}} \text{ is complete in } \mathbb{F}^n \text{, thus spanning, generating, if and only if the echelon form of the matrix} A \text{ has a pivot in every row}$$$$\text{3. The system }\overrightarrow{v_{1}}, \overrightarrow{v_{2}}, ... \overrightarrow{v_{m}} \text{ is a basis in } \mathbb{F}^n \text{ if and only if echelon form of } A \text{ has a pivot in every column and in every row.}$$ </latex>
<latex> 2.3.1: Proposition 3.2 The Number of Vecotrs in a Linear Independent System of Vectors in $\mathbb{F}^n$ </latex>	<latex> Any linearly independent system of vectors in $\mathbb{F}^n$ cannothave more than $n$ vectors in it. </latex>
<latex> 2.3.1: Proposition 3.3: Bases in Vector Spaces Number of Vectors </latex>	<latex> Any two bases in a vector space $V$ have the same number of vectors in them. </latex>
<latex> 2.3.1: Proposition 3.4: Number of Vectors in a Basis </latex>	<latex> Any basis in $\mathbb{F}^n$ must have exactly $n$ vectors in it. </latex>
<latex> 2.3.1: Proposition 3.5: Number of Vectors in a Spanning or Generating Set </latex>	<latex> Any spanning (generating) set in $\mathbb{F}^n$ must have at least$n$ vectors. </latex>
<latex> 2.3.2: Proposition 3.6: Echelon Form Relation to Invertibility </latex>	<latex> A matrix $A$ is invertible if and only if its echelon form has pivot in every column and every row. </latex>
<latex> 2.3.2: Corollary 3.7: Shape of Invertible Matrices </latex>	<latex> An invertible matrix must be square ($n \times n$). </latex>
<latex> 2.3.2: Proposition 3.8: Implications of Right or Left Invertibility on a Square Matrix </latex>	<latex> If a square ($n \times n$) matrix is left invertible, or if it is right invertible, then it is invertible. In other words, to check the invertibility of a square matrix $A$ it is sufficient to check only one of the conditions.  </latex>
<latex> 2.4.1: Theorem: Finding $A^{-1}$ by Row Reduction </latex>	<latex> Any invertible matrix is row equivalent (i.e. can be reduced by rowoperations) to the identity matrix. </latex>
<latex> 2.4.1: THeorem 4.1: Invertible Matrix Representation with Elementary Matrices </latex>	<latex> Any invertible matrix can be represented as a product of elementary matrices. </latex>
<latex> 2.5.1: Definition: Dimension </latex>	<latex> The dimension dim$V$ of a vector space $V$ is the number of vectors in a basis. </latex>
<latex> 2.5.1: Proposition 5.1: The Spanning Systems of Finite Dimension Vector Spaces  </latex>	<latex> A vector space $V$ is finite-dimensional if and only if it has a finite spanning system. </latex>
<latex> 2.5.1: Proposition 5.2: Vectors in a Linear Independent System in a Finite Dimensional Vector Space </latex>	<latex> Any linearly independent system in a finite-dimensional vector space $V$ cannot have more than dim$V$ vectors in it. </latex>
<latex> 2.5.1: Proposition 5.3: Vectors in a Generating System in a Finite Dimensional Vector Space </latex>	<latex> Any generating system in a finite-dimensional vector space $V$ must have at least dim$V$ vectors in it. </latex>
<latex> 2.5.1: Proposition 5.4: Completion to a Basis </latex>	<latex> A linearly independent systemof vectors in a finite-dimensional space can be completed to a basis, i.e. if$\overrightarrow{v_{1}}, \overrightarrow{v_{2}}, ... , \overrightarrow{v_{r}}$ are linearly independent vectors in a finite-dimensional vector space $V$ then one can and vectors $\overrightarrow{v_{r+1}}, \overrightarrow{v_{r+2}}, ... , \overrightarrow{v_{n}}$ such that the system of vectors $\overrightarrow{v_{1}}, \overrightarrow{v_{2}}, ... , \overrightarrow{v_{n}}$ is a basis in $V$. </latex>
<latex> 2.6.1: Theorem 6.1: General Solution of a Linear Equation </latex>	<latex> Let a vector $\overrightarrow{x_{1}}$ satisfy the equation $A\overrightarrow{x} = \overrightarrow{b}$, and let $H$ be the set of all solutions of the associated homogeneous system.$$A\overrightarrow{x} = 0$$Then the set$${x = x_{1} + x_{h} \in H}$$is the set of all solutions of the equation $A\overrightarrow{x} = \overrightarrow{b}$. <br_off /> </latex>
<latex> 2.7.1: Definition: Rank </latex>	<latex> Given a linear transformation (matrix) $A$ its rank, $\text{rank}A$, is the dimension of the range of $A$$$\text{rank}A := \text{dim Ran}A$$ </latex>
<latex> 2.7.3: Theorem 7.1: The Rank Theorem </latex>	<latex> For the matrix $A$$$\text{rank}A = \text{rank} A^{T}$$The column rank of a matrix coincides with its row rank.  </latex>
<latex> 2.7.3: Theorem 7.2: Sum of Dimensions Equations </latex>	<latex> Let $A$ be an $m \times n$ matrix, i.e. a linear transformation from$\mathbb{F}^{n} \to \mathbb{F}^{m}$. Then$$\text{1. dim Ker}A+ \text{dim Ran}A = \text{dim Ker}A+\text{rank}A = n \text{(dimension of thedomain of }A\text{)}$$$$\text{2. dim Ker}A^{T} + \text{dim Ran}A^{T} = \text{dim Ker}A^{T} + \text{rank}A^{T} = m \text{(dimension of the target space of }A\text{)}$$ </latex>
<latex> 2.7.3: Theorem 7.3: Existence of a Unique Solution Based on the Daul's Equations Existence of a Solution </latex>	<latex> Let $A$ be an $m \times n$ matrix. Then the equation$$A\overrightarrow{x} = \overrightarrow{b}$$has a solution for every $\overrightarrow{b} \in \mathbb{R}^{m}$ if and only if the daul equation$$A^{T}\overrightarrow{x} = 0$$has a unique (only the trivial) solution. </latex>
<latex> 2.8.1: Definition 8.1: Similar Matrices </latex>	<latex> We say that a matrix $A$ is similar to a matrix $B$ if thereexists an invertible matrix $Q$ such that $A = Q^{-1}BQ$.  </latex>
<latex> 3.3.2: Proposition 3.1: Properties of Determinant Deducted from the Basic Properties </latex>	<latex> For a square matrix $A$ the following statements hold:$$\text{1. If } A \text{ has a zero column, det} A = 0$$$$\text{2. If } A \text{ has two equal columns, then det}A = 0$$$$\text{3. If one column of }A \text{ is a multiple of another, then det} A = 0$$$$\text{4. If columns of }A \text{are linearly dependent, i.e. if the matrix is not in-vertible, then det}A = 0$$ </latex>
<latex> 3.3.5: Propososition 3.2: Change in Determinant with Column Replacement </latex>	<latex> The determinant does not change if we add to a column a linear combination of the other columns (leaving the other columnsintact). In particular, the determinant is preserved under "column replace-ment" (column operation of third type). </latex>
<latex> 3.3.5: Proposition 3.3: Determinants of Invertible Matrices </latex>	<latex> $\text{det}A = 0$ if and only if $A$ is not invertible. An equivalent statement $\text{det} A \neq 0$ if and only if $A$ is invertible.  </latex>
<latex> 3.3.2: Theorem 3.4: Determinants of a Transpose </latex>	<latex> For a square matrix, $$\text{det} A = \text{det}(A^{T})$$ </latex>
<latex> 3.3.2: Theorem 3.5: Determinant of a Product </latex>	<latex> For $n \times n$ matrices $A$ and $B$$$\text{det}(AB) = (\text{det}A)(\text{det}B)$$ </latex>
<latex> 3.3.5: Lemma 3.6: Determinant of Matrix and Elementary Matrix Product </latex>	<latex> For a square matrix $A$ and an elementary matrix $E$ of the same size$$\text{det}(AE) = (\text{det}E)(\text{det}E)$$ </latex>
<latex> 3.3.5: Collorary 3.7: Product of Matrix and Any Number of Elementary Matrices </latex>	<latex> <!--anki-->For a square matrix $A$ and any sequence elementary matrices $E_{1}, E_{2}, ... , E_{N}$ of the same size ($n \times n$)$$\text{det}(AE_{1}E_{2}...E_{N}) = (\text{det}A)(\text{det}E_{1})...(\text{det}E_{N})$$ </latex>
<latex> 3.3.5: Lemma 3.8: Origin of Invertible Matrices </latex>	<latex> Any invertible matric is a porduct of elementary matrices.  </latex>
<latex> 3.5.1: Theorem 5.1: Cofactor Expansion of Determinant </latex>	<latex> Let $A$ be an $n \times n$ matrix. For each $j, 1 /leq j /leq n$, determinant of $A$ can be expanded in the row number $j$ as$$\text{det}A = a_{j, 1}(-1)^{j+1}\text{det}A_{j, 1} + a_{j, 2}(-1)^{j+2}\text{det}A_{j, 2} + ... + a_{j, n}(-1)^{j+n}\text{det}A_{j, n} $$Similarly, for each $k, 1 /leq k /leq n$, the determinant can be expanded in thecolumn number $k$,$$\text{det}A = \sum_{j=1}^{n}a_{j, k} (-1)^{j+k} \text{det}A_{j, k}$$ </latex>
<latex> 3.5.1: Definition: Cofactors </latex>	<latex> The numbers$$C_{j, k} = (-1)^{j+k} \text{det}A_{j, k}$$are called cofactors.  </latex>
<latex> 3.5.1: Theorem 5.2: Invertible Matrix in Relations with the Cofactor Matrix </latex>	<latex> Let $A$ be an invertible matrix and let $C$  be its cofactor matrix. Then,$$A^{-1} = \frac{1}{\text{det}A}C^{T}$$ </latex>
<latex> 3.5.1: Corollary 5.3: Cramer's Rule </latex>	<latex> For an invertible matrix $A$ the entry number $k$ of the solution of the equation $A\overrightarrow{x} = \overrightarrow{b}$ is given by the formula$$x_{k} = \frac{\text{det}B_{k}}{\text{det}A}$$where the matrix $B_{k}$ is obtained from $A$ by replacing column number $k$ of $A$ by the vector $\overrightarrow{b}$. </latex>
<latex> 3.6.1: Theorem 6.1: Rank of a Matrix in Terms of Minor </latex>	<latex> For a non-zero matrix $A$ its rank equals to the maximal integer $k$ such that there exists a non-zero minor of order $k$. </latex>
<latex> 3.6.1: Corollary 6.2: Rank of a Polynomial Matrix </latex>	<latex> Let $A = A(x)$ be an $m \times n$ polynomial matrix (i.e. a matrixwhose entries are polynomials of $x$). Then $\text{rank}A(x)$ is constant everywhere, except maybe finitely many points, where the rank is smaller. </latex>
<latex> 4.1.1: Definition: Eigenvalues and Eigenvectors </latex>	<latex> A scalar $\lambda$ is called an eigenvalue of an operator $A: V \to V$ if there exists a non-zero vector $\overrightarrow{v} \in V$ such that$$A\overrightarrow{v} = \lambda \overrightarrow{v}$$The vector $\overrightarrow{v}$ is called the eigenvector of $A$.  </latex>
<latex> 4.1.2: Theorem: Eigenvalue in Relation to Determanant of $A- \lambda I$ </latex>	<latex> $$\lambda \in \sigma (A), \text{i.e. } \lambda \text{ is an eigenvalue of } A \text{ if and only if } \text{det}(A - \lambda I) = 0$$ </latex>
<latex> 4.1.2: Definition: Characteristic Polynomial </latex>	<latex> If $A$ is an $n \times n$ matrix, the determinant $\text{det}(A - \lambda I)$ is a polynomial of degree $n$ of the variable. This polynomial is called the characteristicpolynomial of $A$. </latex>
<latex> 4.1.5: Proposition 1.1: Geometric and Algebraic Multiplicity of an Eigenvalue </latex>	<latex> Geometric multiplicity of an eigenvalue cannot exceed its algebraic multiplicity. </latex>
<latex> 4.1.6: Theorem 1.2: Trace and Determinant in Relation to Eigenvalues </latex>	<latex> Let $A$ be $n \times n$ matrix, and let $ \lambda_{1}, \lambda_{2}, ... \lambda_{n}$ be its complex eigenvalues counting multiplicities. Then$$\text{1. trace}A = \lambda_{1} + \lambda_{2} +  ... + \lambda_{n}$$$$\text{2. det}A = \lambda_{1}\lambda_{2}...\lambda_{n}$$ </latex>
<latex> 4.1.7: Theorem: Eigenvalues of a Triangular Matrix </latex>	<latex> Eigenvalues of a triangular matrix are exactly the diagonal entries.  </latex>
<latex> 4.2.1: Theroem 2.1: Diagonalization  </latex>	<latex> A matrix $A$ (with values in $\mathbb{F}$) admits a representation $A = SDS^{-1}$, where $D$ is a diagonal matrix and $S$ is an invertible one (both withentries in $\mathbb{F}$) if and only if there exists a basis in $\mathbb{F}^{n}$ of eigenvectors of $A$.$\\$Moreover, in this case diagonal entries of $D$ are the eigenvalues and thecolumns of $S$ are the corresponding eigenvectors (column number $k$ corre-sponds to $k$th diagonal entry of $D$). </latex>
<latex> 4.2.1: Remark: Diagonalization Relation to Eigenvalues </latex>	<latex> Note if a matrix admits the representation $A = SDS^{-1}$ with a diagonalmatrix $D$, then a simple direct calculation shows that the columns of$S$ are eigenvectors of $A$ and diagonal entries of $D$ are corresponding eigenvalues. </latex>
<latex> 4.2.3: Theroem 2.2: Linear Independence of Eigenvectors </latex>	<latex> Let $\lambda_{1}, \lambda_{2},..., \lambda_{r}$ be distinct eigenvalues of $A$, and let $\lambda_{1}, \lambda_{2},..., \lambda_{r}$ be the corresponding eigenvectors. Then vectors $\lambda_{1}, \lambda_{2},..., \lambda_{r}$ are linearly independent. </latex>
<latex> 4.2.3: Corollary 2.3: Diagonalizability of Linear Operators with $n = \text{dim}V$ </latex>	<latex> If an operator $A: V \to V$ hjas exactly $n = \text{dim}V$ distinct eigenvalues, then it is diagonalizable.  </latex>
<latex> 4.2.4: Theorem 2.6: Union of the Bases of Linear Independent Subspaces </latex>	<latex> Let $V_{1}, V_{2}, ... , V_{p}$ be a basis of subspaces, and let us have in each subspace $V_{k}$ a basis (of vectors) $\mathcal{B}_{k}$. Then the union $\cup _{k}\mathcal{B}_{k}$ of these bases is a basis in $V$. </latex>
<latex> 4.2.4: Lemma 2.7: Union of the Bases of Linear Independent Subspaces </latex>	<latex> Let $V_{1}, V_{2}, ... , V_{p}$ be a linearly independent family of subspaces, and let us have in each subspace $V_{k}$ a linearly independent system (of vectors) $\mathcal{B}_{k}$. Then the union $B := \cup _{k}\mathcal{B}_{k}$ of these bases is a basis in $V$. </latex>
<latex> 4.2.5: Theorem 2.8: The Geometric and Algebraic Multiplicities of Eigenvalues of Diagonalizable Matricies </latex>	<latex> Let an operator $A : V \to V$ has exactly $n = \text{dim}V$ eigen-values (counting multiplicities). Then $A$ is diagonalizable if and only if for each eigenvalue the dimension of the eigenspace $\text{Ker}(A - \lambda I)$ (i.e the geometic multiplicity of $\lambda$) coincides with the algebraic multiplicity of $\lambda$ </latex>
<latex> 4.2.6: Theorem 2.9: Relation Between Complex Factorization and Eigenvalues and Real Factorization </latex>	<latex> A real $n \times n$ matrix $A$ admits a real factorization (i.e. representation $A = SDS^{-1}$ where $S$ and $D$ are real matrices, $D$ is diagonal and $S$ is invertible) if and only if it admits complex factorization and all eigenvalues of $A$ are real. </latex>
<latex> 5.1.2: Definition: Standard Inner Product of $\mathbb{C}^n$ </latex>	<latex> $$(\overrightarrow{z}, \overrightarrow{w}) = \sum_{k=1}^{n} z_{k}\overline{w_{k}}$$$$\text{Or with notation in hermitian adjoint}$$$$(\overrightarrow{z}, \overrightarrow{w}) = \overrightarrow{w}*\overrightarrow{z}$$ </latex>
